url주소,기업,알바명,고용형태,직업종류,고용기간,실근무시간,야간근무여부,상세주소,위도,경도,x좌표,y좌표,starttime,endtime
http://www.alba.co.kr/job/Detail.asp?adid=97419088,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431683,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97360653,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97443290,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431675,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431322,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431719,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97442590,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431677,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431674,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97422762,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97422756,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97420541,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97434746,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97422744,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431307,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431708,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97442315,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439843,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439844,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97360651,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97360142,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439846,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97442199,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97442693,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97414616,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439849,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97422759,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97068497,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97422781,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97422775,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97420351,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439842,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431751,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97430443,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444905,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97263593,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444546,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97242350,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97420314,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97430514,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97422752,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97445057,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97422772,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97431499,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439839,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439845,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97441226,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439840,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97242351,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97422767,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439841,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439708,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439847,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97403330,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97443211,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97411103,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439032,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97242355,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97242353,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97441282,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97436485,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444483,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97434768,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444484,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444487,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444482,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444485,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444486,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444481,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97441203,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97439029,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444480,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444479,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97393688,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97429573,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97390791,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97442305,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97390722,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=96948906,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97444119,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97442635,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97242352,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97242349,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97442613,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97440954,,,,,,,,,,,,,,
http://www.alba.co.kr/job/Detail.asp?adid=97429461,,,,,,,,,,,,,,
